frequency_hz,phase_deg,magnitude_ohm
149481.878788,-84.3953696803,115.99771446
152512.121212,-84.7152325155,109.974137594
155542.363636,-84.9269474082,104.950385424
158572.606061,-84.8451262851,101.148405144
161602.848485,-85.0908810376,96.7428172589
164633.090909,-85.3309402672,92.7346427254
167663.333333,-85.3680570619,89.1399951087
170693.575758,-85.3310697092,85.7600808767
173723.818182,-85.2834766548,82.6969779233
176754.060606,-85.2183886594,79.765010877
179784.30303,-85.1412722808,76.9419582592
182814.545455,-85.0445372333,74.2234475688
185844.787879,-84.8616265529,71.5733475061
188875.030303,-84.64685671,69.0724563099
191905.272727,-84.4648088124,66.6716221751
194935.515152,-84.2809162256,64.2460007529
197965.757576,-84.0169031456,61.7787549201
200996,-83.6139110079,59.3053171423
204026.242424,-83.0954849971,56.8083287825
207056.484848,-82.2821774615,54.3131498895
210086.727273,-81.363562302,51.6866592142
213116.969697,-80.249511582,48.9112867567
216147.212121,-77.1143676341,46.4301678326
219177.454545,-73.0342575414,43.9229911363
222207.69697,-66.3273051572,42.686065977
225237.939394,-58.0793762869,45.856144428
228268.181818,-54.5804675738,54.1791129277
231298.424242,-60.0692887554,64.0465521787
234328.666667,-68.4774043992,64.6761546042
237358.909091,-74.0879242296,61.9472872195
240389.151515,-77.740757304,58.5950993003
243419.393939,-79.3580186446,55.075642617
246449.636364,-80.4870844959,52.1546814377
249479.878788,-81.1353867508,49.5919459732
252510.121212,-81.4784317918,47.3140318386
255540.363636,-81.6527320301,45.3059909407
258570.606061,-81.709995619,43.4656313874
261600.848485,-81.7608915232,41.752114528
264631.090909,-81.7629998779,40.1407100567
267661.333333,-81.6409693473,38.5788553989
270691.575758,-81.2555587397,36.9636878962
273721.818182,-81.1083449707,35.4774322665
276752.060606,-80.0851405407,34.5737831823
279782.30303,-80.5341536294,32.953309759
282812.545455,-80.4116387098,31.7184025818
285842.787879,-81.1999218726,30.480216925
288873.030303,-79.9311096962,29.2784107017
291903.272727,-79.2376787122,28.0227274435
294933.515152,-77.4917877165,26.758857585
297963.757576,-78.4495400266,25.6748927875
300994,-78.2852390096,24.4614619638
304024.242424,-77.1406766695,23.3325168318
307054.484848,-75.9645656921,22.051695109
310084.727273,-74.6997501738,20.859841641
313114.969697,-72.9639500165,19.6600332651
316145.212121,-70.7967396233,18.510937231
319175.454545,-67.6784535587,17.4247492022
322205.69697,-63.3566822651,16.5218046992
325235.939394,-57.5673699444,16.0890267919
328266.181818,-51.268619232,16.5559133556
331296.424242,-47.7770581993,18.1542454171
334326.666667,-49.3222625104,20.1147807944
337356.909091,-54.7664927724,20.845835111
340387.151515,-57.2122873353,20.3910401673
343417.393939,-62.2733159158,18.6833167621
346447.636364,-63.7466929097,17.1721213875
349477.878788,-65.4188102272,16.1216525679
352508.121212,-64.240778632,14.4939383751
355538.363636,-63.3228292458,13.2166707013
358568.606061,-63.763135451,11.7659710562
361598.848485,-60.0383031463,11.133778069
364629.090909,-58.4231122645,10.3423961298
367659.333333,-52.447663451,8.80351289035
370689.575758,-49.6460340965,8.43231198137
373719.818182,-45.496311379,7.78329605933
376750.060606,-39.8641651449,7.1721635411
379780.30303,-33.4280335088,6.72004975399
382810.545455,-26.7363649238,6.36695736685
385840.787879,-19.4806310512,6.04733437761
388871.030303,-11.8194826921,5.78682396301
391901.272727,-2.78598783391,5.64066296367
394931.515152,6.86260309611,5.69914509718
397961.757576,16.1380285135,5.9008127337
400992,24.6513621372,6.31501923433
404022.242424,31.7408456096,6.93639498848
407052.484848,37.5590261652,7.62907312059
410082.727273,41.6514820932,8.40320635733
413112.969697,44.7834949938,9.44378618047
416143.212121,48.3956196173,10.4996092244
419173.454545,49.9268330062,11.6136930072
422203.69697,49.4858005181,12.5403907299
425233.939394,50.3722420565,14.2312340924
428264.181818,48.1646797225,15.522867457
431294.424242,46.7764145082,17.2390879029
434324.666667,42.2777093748,17.8015810248
437354.909091,37.8951696217,18.00093548
440385.151515,35.37747473,17.9016942311
443415.393939,32.516756195,17.4279543147
446445.636364,31.4141957239,16.0461242818
449475.878788,30.3020167833,15.4108006985
452506.121212,32.5034320423,14.1968217371
455536.363636,35.2758638112,13.4720223272
458566.606061,41.6101470968,13.1777434015
461596.848485,46.1282274197,13.3083007551
464627.090909,50.2606156628,13.7610355342
467657.333333,55.8503288722,14.2551775661
470687.575758,59.1815742791,15.0432421085
473717.818182,60.9268080089,15.8962051916
476748.060606,63.2318842603,16.5970218613
479778.30303,64.0503763332,17.5544884811
482808.545455,65.455263959,18.2213994097
485838.787879,66.5641488118,18.8109729008
