frequency_hz,phase_deg,magnitude_ohm
552504.121212,-21.8326713763,14.3063103694
555534.363636,-13.2108167853,14.1795462493
558564.606061,-7.18566464066,14.4457756599
561594.848485,4.26182628738,15.4473752894
564625.090909,10.9793478531,16.8944537831
567655.333333,19.5371055104,18.5501654742
570685.575758,21.4350183064,21.1234898745
573715.818182,24.5388441126,23.5659989683
576746.060606,29.6364915298,26.503063887
579776.30303,25.2213434577,29.9889347312
582806.545455,24.2027303875,33.0848147115
585836.787879,19.8887869002,34.754165138
588867.030303,19.5730270716,37.7321923618
591897.272727,17.3852531728,40.0508563454
594927.515152,15.7864443121,44.8233045382
597957.757576,13.3947656568,45.0700386156
600988,8.56600154334,47.540489596
604018.242424,3.12117529845,48.6234425557
607048.484848,-3.16782763423,50.3183346669
610078.727273,-10.4048011329,48.3719405541
613108.969697,-14.6221292175,45.1075273262
616139.212121,-22.1766686545,41.2075430987
619169.454545,-25.5546801959,36.3955460301
622199.69697,-30.1930277718,32.2178198506
625229.939394,-27.6184961356,27.6216191261
628260.181818,-24.3938197977,24.418538307
631290.424242,-23.9937162449,20.8614077619
634320.666667,-19.2277145383,18.2612864913
637350.909091,-13.4856201501,16.1265527929
640381.151515,-5.2714366243,14.5297369719
643411.393939,3.43275809587,13.6073920508
646441.636364,14.5769526526,12.5656190332
649471.878788,21.6461620767,13.4407361943
652502.121212,30.8482425734,13.7796113258
655532.363636,37.1938847852,14.3282489104
658562.606061,44.2177174543,15.4757294154
661592.848485,48.6391780556,16.7066116524
664623.090909,53.5145957745,18.2957471702
667653.333333,55.9750772047,18.9929707231
670683.575758,58.6009370807,20.210160994
673713.818182,62.7230472313,21.4307880482
676744.060606,62.6458626456,22.7899730802
679774.30303,64.1918493066,24.0191655354
682804.545455,65.3373252198,25.6998804272
685834.787879,66.7013026096,25.904590528
688865.030303,68.945176019,27.0463978081
691895.272727,69.3831753401,28.290254821
694925.515152,70.4711247551,29.4935042827
697955.757576,72.0370258348,30.5369718571
700986,72.359515516,31.6052479185
704016.242424,73.40497994,32.8795892097
707046.484848,73.9507869907,34.0840111851
710076.727273,74.9010436937,35.1860866736
713106.969697,75.6544565844,36.2910815744
716137.212121,76.0758629977,37.6520932281
719167.454545,76.7495637147,38.8524299361
722197.69697,77.2901177761,40.0141424133
725227.939394,77.7319866548,41.1557608268
728258.181818,78.0292330328,42.3510408998
731288.424242,78.4741112325,43.5673221088
734318.666667,79.0033551585,44.5834654648
737348.909091,79.0790473214,45.8958332763
740379.151515,79.3989423467,47.1107438436
743409.393939,79.680141659,48.3270032084
746439.636364,79.9796571786,49.3605868541
749469.878788,80.2081404061,50.5631573388
752500.121212,80.4457407307,51.6732248485
755530.363636,80.6621833954,52.8227446087
758560.606061,80.8221855183,53.954141374
761590.848485,81.0409284297,55.0922895521
764621.090909,81.4697193712,56.3896540852
767651.333333,81.1877644055,57.3832160816
770681.575758,81.4655175809,58.4898941075
773711.818182,81.4162698673,59.9402816874
776742.060606,81.4686495167,60.503041416
779772.30303,81.591596702,61.692484466
782802.545455,82.1727906968,62.7605369915
785832.787879,81.9716565376,63.8092090538
788863.030303,81.8111799237,64.7516338187
791893.272727,82.4824942631,65.4721049132
794923.515152,82.3747191851,66.892306624
797953.757576,82.9607957894,68.0483426259
800984,83.4155823102,69.0564356386
804014.242424,82.9209790384,69.8617072617
807044.484848,82.9722811252,71.060016361
810074.727273,83.0820039054,72.1480161475
813104.969697,83.2409959462,73.1452979958
816135.212121,83.3360710283,74.2486392624
819165.454545,84.0629303917,75.7142324377
822195.69697,83.5318344479,76.4453619081
825225.939394,83.5717464655,77.7569505117
828256.181818,84.0297580811,77.9241129467
831286.424242,83.7735361638,79.4317748416
834316.666667,83.7321169751,80.7991974448
837346.909091,82.2960986144,81.4057163704
840377.151515,83.9254835513,82.5776926395
843407.393939,84.0564349759,83.9421022324
846437.636364,84.0985448272,85.0387848204
849467.878788,84.07884215,85.7776660663
852498.121212,83.0292161496,88.4047374223
855528.363636,84.3507452372,88.0562548195
858558.606061,83.7118704775,89.0645608845
861588.848485,84.6905858806,88.3510641299
864619.090909,84.511267318,91.1650341198
867649.333333,84.6362976511,92.2000963828
870679.575758,84.6526978792,94.0021371124
873709.818182,83.6080149801,95.3954515541
876740.060606,84.8587915573,95.6685787059
879770.30303,84.6640305515,95.6930680602
882800.545455,84.6949667671,97.8454825472
885830.787879,85.2518141672,100.133297459
888861.030303,83.987325989,100.256814496
891891.272727,85.1889940457,100.998208878
894921.515152,85.0484181646,101.363221025
897951.757576,85.2765336413,103.518569777
900982,84.7819986853,104.242201953
904012.242424,85.279171164,104.56014642
907042.484848,85.0522041826,106.204489426
910072.727273,84.9437023579,107.715929713
913102.969697,85.8212425672,107.218109048
916133.212121,85.2145717759,109.294474264
919163.454545,85.1307409232,110.536809824
922193.69697,85.3083964801,110.41447235
925223.939394,85.2509723753,112.135409114
928254.181818,84.9396122701,113.717279806
931284.424242,84.7037084201,113.392328061
934314.666667,84.7944603756,115.708501129
937344.909091,85.9761968946,113.290753744
940375.151515,83.6852698755,113.621969723
943405.393939,85.421143161,119.039323964
946435.636364,84.4557866785,118.945082801
949465.878788,84.8545303625,119.921000625
952496.121212,85.0055988195,121.313996452
955526.363636,85.2803486817,119.670119102
958556.606061,85.497300238,122.787545977
961586.848485,85.2557076055,123.963104162
964617.090909,84.1289512843,125.131295473
967647.333333,85.5740301961,126.558003427
970677.575758,85.8441476754,128.159683717
973707.818182,86.2085470208,129.109576696
976738.060606,85.6322036256,129.422833913
979768.30303,86.6387357632,130.869568422
982798.545455,86.9406009806,130.377535652
985828.787879,85.8669785807,132.326457203
988859.030303,85.669092392,133.250901258
991889.272727,85.2513826949,134.972737582
994919.515152,86.718063395,134.963320977
997949.757576,85.8981740919,136.559153077
1000980,84.7868492494,138.736693761
1004010.24242,85.1282229694,137.69444977
1007040.48485,86.0150995078,139.809009287
1010070.72727,85.7962516238,139.201253181
1013100.9697,85.5610657546,145.176322454
1016131.21212,85.8140172121,142.96020032
1019161.45454,86.2529805193,144.749950487
1022191.69697,86.3502023018,144.381467571
1025221.93939,86.0225234648,145.893829757
1028252.18182,85.8101181632,147.267854651
1031282.42424,86.2498336412,148.341298742
1034312.66667,86.3266234368,151.102798048
1037342.90909,85.8335222826,149.897184195
1040373.15152,86.237319774,151.94414963
1043403.39394,86.0083486066,153.565715723
1046433.63636,86.0773611711,154.587772254
1049463.87879,86.4985814286,154.236851548
1052494.12121,87.4259997693,156.262357669
1055524.36364,85.5836944266,156.892262285
1058554.60606,86.3166498998,158.52140064
1061584.84848,85.9861627031,160.166462862
