frequency_hz,phase_deg,magnitude_ohm
434324.666667,-97.3640387798,1654.72992028
437354.909091,-111.457855005,2416.45226617
440385.151515,-85.4872170068,1505.68501326
443415.393939,-86.828131296,1378.91120545
446445.636364,-95.6264262043,1357.86294635
449475.878788,-88.6785429228,1434.13314616
452506.121212,-88.8779599956,1425.64373312
455536.363636,-90.0006574394,1450.80161388
458566.606061,-88.7709687348,1400.86436071
461596.848485,-89.0639242386,1368.25738303
464627.090909,-88.7002280709,1350.84052147
467657.333333,-88.6456478254,1348.31432296
470687.575758,-88.0586087314,1327.41839763
473717.818182,-87.9126215883,1296.32220807
476748.060606,-87.7398894851,1301.52037582
479778.30303,-87.1752404862,1283.6539823
482808.545455,-87.730570688,1281.742644
485838.787879,-85.906415952,1293.19271053
488869.030303,-87.0591862378,1282.74990349
491899.272727,-84.3583862934,1490.27322143
494929.515152,-82.0444977083,1346.70378999
497959.757576,-90.1889408587,1427.36249978
500990,-80.1649123262,1356.21135047
504020.242424,-86.1586499297,1374.31593415
507050.484848,-87.3482358688,1267.12641013
510080.727273,-87.3938502613,1295.05937659
513110.969697,-78.8763991555,1507.21044038
516141.212121,-86.8052615909,1223.84066344
519171.454545,-88.8337146927,1292.75374686
522201.69697,-80.1844139179,1299.57142922
525231.939394,-93.7012375167,1272.23576505
528262.181818,-88.6472719177,1225.99688141
531292.424242,-100.912564725,1055.84853696
534322.666667,-88.8014911432,1163.36263567
537352.909091,-87.6724859581,1245.45149635
540383.151515,-72.7338199459,1041.21380828
543413.393939,-88.6628135054,1186.45850327
546443.636364,-89.6395519644,1201.25148186
549473.878788,-95.0014818212,1096.8253069
552504.121212,-92.0205388208,1211.18301764
555534.363636,-98.2201713077,1075.58924711
558564.606061,-81.4135402719,1116.08374805
561594.848485,-90.0304651888,1166.82000835
564625.090909,-97.6226082394,1150.35345405
567655.333333,-85.6463692561,1052.65804234
570685.575758,-88.9326382886,1084.62007061
573715.818182,-95.8537243215,880.917142588
576746.060606,-88.7079116538,1093.0950984
579776.30303,-90.0051955018,1151.67649184
582806.545455,-90.8515917157,1189.83652159
585836.787879,-88.9793570698,1100.72546737
588867.030303,-89.0509462049,1092.90658754
591897.272727,-89.3869633592,1058.27645581
594927.515152,-89.0166965503,1081.47295227
597957.757576,-88.9745283381,1085.18360903
600988,-88.1646967627,1080.02427838
604018.242424,-89.4330596929,1073.06666019
607048.484848,-89.5143970427,1072.97323061
610078.727273,-88.8918626583,1013.94360806
613108.969697,-89.2039668281,1026.43392803
616139.212121,-90.0184909574,1018.13379754
619169.454545,-93.6133029958,1023.34144757
622199.69697,-88.685211211,1019.61612466
625229.939394,-89.173624921,995.801857149
628260.181818,-82.6205013883,848.087952232
631290.424242,-88.4336663495,1009.02324938
634320.666667,-86.73429196,1033.3306546
637350.909091,-89.2023640224,1000.33813953
640381.151515,-88.1094719912,987.357457855
643411.393939,-87.7843193861,971.467322449
646441.636364,-94.6406518222,1188.47503243
649471.878788,-86.6605084763,977.184609973
652502.121212,-86.6430432052,978.851254545
655532.363636,-87.3468239107,868.661831758
658562.606061,-88.2780777093,1001.35650333
661592.848485,-89.3021942487,996.541936052
664623.090909,-84.7274422888,1000.61543551
667653.333333,-85.6235791231,979.312688161
670683.575758,-83.0637754794,895.726663085
673713.818182,-86.3098504197,892.810936304
676744.060606,-87.2475075294,952.988649904
679774.30303,-93.2966450037,1012.54991944
682804.545455,-88.101265643,895.43360876
685834.787879,-88.0275535002,942.828795956
